codigo,maquina,componente,frecuencia,refacciones,tarea
SER-01,Caldera,Purga de fondo,,,Realizar según procedimiento.
SER-01,Caldera,Nivel de agua,,,Verificar nivel correcto en mirilla.
SER-01,Caldera,Presión/Temperatura,,,Leer manómetros dentro de rango.
SER-01,Caldera,Fugas,,,"Inspeccionar visualmente combustible, agua o vapor."
SER-01,Caldera,Tratamiento de agua,,,Verificar niveles de químicos.
SER-01,Caldera,Quemador,,,"Limpiar filtro, verificar llama."
SER-02,Compresor de tornillo de aire,Fugas de aire,,,Inspección visual y auditiva.
SER-02,Compresor de tornillo de aire,Drenaje de condensado,,,Vaciar el depósito.
SER-02,Compresor de tornillo de aire,Correas de transmisión,,,Inspeccionar tensión y desgaste.
SER-02,Compresor de tornillo de aire,Acoplamientos,,,Inspeccionar desgaste.
SER-02,Compresor de tornillo de aire,Aceite y filtro de aceite,,,Reemplazar
ELE-01,Subestaciones,Transformadores,,,"Inspección visual de fugas de aceite, nivel, temperatura y ruidos anormales."
ELE-01,Subestaciones,Interruptores de potencia,,,"Revisar contactos, mecanismo de apertura/cierre y estado general."
ELE-01,Subestaciones,Sistema de puesta a tierra,,,Medir resistencia y verificar conexiones firmes.
ELE-01,Subestaciones,Aisladores y barras,,,Limpieza y revisión de fisuras o puntos calientes.
ELE-01,Subestaciones,Tableros de protección y control,,,"Verificar relevadores, conexiones y funcionamiento correcto."
SER-03,Compresor de tornillo de refrigeración,,,,
PRO-01,Gusanos Helicoidales,Artesa,,,Revisar si hay desgaste y alineación. Apriete todos los pernos.
PRO-01,Gusanos Helicoidales,Ejes,,,Checar si hay desgaste. Revisar si hay alargamiento o deterioro del agujero del tornillo.
PRO-01,Gusanos Helicoidales,Alabes,,,Inspeccionar los bordes para saber si hay desgaste o daño.
PRO-01,Gusanos Helicoidales,Tornillos y tuercas,,,Examínelos todos para saber si hay desgaste y estiramiento.
PRO-01,Gusanos Helicoidales,Sellos,,,"Revise salida, ajuste y desgaste."
PRO-01,Gusanos Helicoidales,Guardas,,,Nivel de aceite (si fuera aplicable). Tuercas y tornillos de estiramiento.
PRO-01,Gusanos Helicoidales,Rodamientos,,,Lubricación.
ELE-02,Centro de Control de Motores,,,,
SER-04,Compresores de Pistón,,,,
PRO-02,Elevador de Cangilones,,,,
SER-05,Torre de Enfriamiento,,,,
PRO-03,Bandas Transportadoras,Banda (superficie inferior y superior),,,"Inspeccionar en busca de cortes, hendiduras u otros signos de daño no visibles a simple vista en la operación diaria."
PRO-03,Bandas Transportadoras,Tensión de la banda,,,"Verificar la tensión. Una tensión incorrecta (especialmente en bandas modulares) causa desgaste prematuro. En bandas ThermoDrive, se recomienda operar sin tensión."
PRO-03,Bandas Transportadoras,Limpieza profunda,,,"Realizar una limpieza programada del transportador, incluyendo estructura, guías y parte inferior de la banda."
